repository,commit,migration_cases,exclusion_stage,archived_status,passed,total,reason_category,reason
aio-libs/aiosmtpd,3615f5ef,1,baseline_reproducibility,NO_COUNTS,,,environment_tooling_collection,Pytest collection did not produce usable counts because current dependency/tooling behavior turned a conftest import path into an import failure.
alanhamlett/pip-update-requirements,e407b929,2,baseline_reproducibility,FAIL_80,0,1,environment_tooling_collection,"The project depends on old pip internals that are no longer available in the reproduced environment, so tests fail during collection."
avinassh/haxor,8c0cb6be,7,baseline_reproducibility,NO_TESTS,0,0,environment_tooling_collection,The repository did not yield a usable baseline test set because pytest collection failed under the current pytest/plugin stack.
codewithemad/apyrat,de1852d8,8,baseline_reproducibility,FAIL_80,1,8,external_service_or_live_data_drift,The baseline tests rely on live media/API responses; the external endpoint returned an HTTP gateway failure and invalid JSON.
esds-leipzig/sen2nbar,1ecded1e,6,baseline_reproducibility,FAIL_80,0,5,external_service_or_live_data_drift,The baseline tests depend on current STAC/Sentinel metadata whose CRS/projection fields no longer match the test assumptions.
gugarosa/learnergy,870d8a6b,3,baseline_reproducibility,TIMEOUT,,,timeout,"The baseline test suite did not finish within the reproduction timeout, so no stable pass count was available."
haidra-org/ai-horde-styles,1221207a,6,baseline_reproducibility,FAIL_80,2,3,external_service_or_live_data_drift,The tests rely on a model/style reference catalog that drifted from the expected baseline contents.
irahorecka/comics,47a0b5c2,7,unavailable_commit,missing_commit_upstream,,,upstream_commit_unavailable,The recorded upstream repository commit could not be retrieved during setup.
j4asper/dmr.py,8f335fd5,7,baseline_reproducibility,FAIL_80,9,13,external_service_or_live_data_drift,The tests assert values parsed from live vehicle/registry data that changed or disappeared since the original artifact.
jaldekoa/bcra-wrapper,73c84046,6,baseline_reproducibility,FAIL_80,0,1,external_service_or_live_data_drift,"Test collection performs a live HTTPS call to the BCRA API, and certificate verification failed in the reproduction environment."
jannisborn/paperscraper,fa7c5e26,8,baseline_reproducibility,FAIL_80,37,47,external_service_or_live_data_drift,The tests depend on live scholarly services and current metadata whose responses changed or became inaccessible.
metlife/ocspchecker,c9db90c5,1,baseline_reproducibility,PASS_80,36,41,external_service_or_live_data_drift,Certificate-chain and OCSP responder tests rely on live certificate state that changed since the artifact was created.
paytmmoney/pypmclient,8f966de0,3,baseline_reproducibility,FAIL_80,89,116,dependency_api_or_stale_baseline_expectation,The baseline fails under the current dependency/API behavior because the project calls httpx.HTTPError with an obsolete signature.
saleweaver/rapid-rest-client,79aa8970,6,baseline_reproducibility,FAIL_80,4,9,external_service_or_live_data_drift,"The tests call live HTTP endpoints that are now blocked or changed, returning a Cloudflare challenge instead of the expected response."
sindrel/nrk-pod-feeds,69b3cf40,6,baseline_reproducibility,FAIL_80,11,14,external_service_or_live_data_drift,The tests rely on live NRK podcast/feed data whose seasons and episode records changed.
skyme5/snapchat-dl,9b382d01,6,baseline_reproducibility,PASS_80,12,14,external_service_or_live_data_drift,Downloader tests depend on an external sample media host that timed out during reproduction.
texzk/hexrec,a3553b56,4,baseline_reproducibility,PASS_80,1113,1354,dependency_api_or_stale_baseline_expectation,"A large set of baseline assertions no longer matches current behavior, especially expected list-vs-tuple record representations."
unpywall/unpywall,7909fde0,6,baseline_reproducibility,PASS_80,23,26,external_service_or_live_data_drift,The tests depend on live Unpaywall/DOI lookup and download behavior whose responses were empty or invalid in reproduction.
